(    1 ,     1)   +1.000000
(    2 ,     2)   -1.500000
(    2 ,     8)   -1.500000
(    3 ,     3)   -2.000000
(    3 ,     9)   -2.000000
(    4 ,     4)   -2.000000
(    4 ,    10)   -2.000000
(    5 ,     5)   -1.500000
(    5 ,    11)   -1.500000
(    6 ,     6)   +1.000000
(    7 ,     7)   -1.500000
(    7 ,     8)   -1.500000
(    8 ,     2)   -1.500000
(    8 ,     7)   -1.500000
(    8 ,     8)   +1.500000
(    8 ,     9)   -0.750000
(    8 ,    14)   -0.750000
(    8 ,    38)   +0.250000
(    8 ,    43)   +0.250000
(    9 ,     3)   -2.000000
(    9 ,     8)   -0.750000
(    9 ,     9)   +1.500000
(    9 ,    10)   -0.750000
(    9 ,    38)   +0.750000
(    9 ,    39)   +0.750000
(    9 ,    40)   +0.250000
(   10 ,     4)   -2.000000
(   10 ,     9)   -0.750000
(   10 ,    10)   +1.500000
(   10 ,    11)   -0.750000
(   10 ,    39)   +0.250000
(   10 ,    40)   +0.750000
(   10 ,    41)   +0.750000
(   11 ,     5)   -1.500000
(   11 ,    10)   -0.750000
(   11 ,    11)   +1.500000
(   11 ,    12)   -1.500000
(   11 ,    17)   -0.750000
(   11 ,    41)   +0.250000
(   11 ,    48)   +0.250000
(   12 ,    11)   -1.500000
(   12 ,    12)   -1.500000
(   13 ,    13)   -2.000000
(   13 ,    14)   -2.000000
(   14 ,     8)   -0.750000
(   14 ,    13)   -2.000000
(   14 ,    14)   +1.500000
(   14 ,    20)   -0.750000
(   14 ,    43)   +0.750000
(   14 ,    49)   +0.750000
(   14 ,    55)   +0.250000
(   15 ,    15)   +1.000000
(   16 ,    16)   +1.000000
(   17 ,    11)   -0.750000
(   17 ,    17)   +1.500000
(   17 ,    18)   -2.000000
(   17 ,    23)   -0.750000
(   17 ,    48)   +0.750000
(   17 ,    54)   +0.750000
(   17 ,    60)   +0.250000
(   18 ,    17)   -2.000000
(   18 ,    18)   -2.000000
(   19 ,    19)   -2.000000
(   19 ,    20)   -2.000000
(   20 ,    14)   -0.750000
(   20 ,    19)   -2.000000
(   20 ,    20)   +1.500000
(   20 ,    26)   -0.750000
(   20 ,    49)   +0.250000
(   20 ,    55)   +0.750000
(   20 ,    61)   +0.750000
(   21 ,    21)   +1.000000
(   22 ,    22)   +1.000000
(   23 ,    17)   -0.750000
(   23 ,    23)   +1.500000
(   23 ,    24)   -2.000000
(   23 ,    29)   -0.750000
(   23 ,    54)   +0.250000
(   23 ,    60)   +0.750000
(   23 ,    66)   +0.750000
(   24 ,    23)   -2.000000
(   24 ,    24)   -2.000000
(   25 ,    25)   -1.500000
(   25 ,    26)   -1.500000
(   26 ,    20)   -0.750000
(   26 ,    25)   -1.500000
(   26 ,    26)   +1.500000
(   26 ,    27)   -0.750000
(   26 ,    32)   -1.500000
