==113054== NVPROF is profiling process 113054, command: ./gpu3 15 16384 2048 32
kernel completed, verifying


Success:
 N	Teams	TeamS	VL	ele/VL	exec_time(s)	FLOPS
15	2048	32	8	1	0.000275	4.015007e+11

==113054== Profiling application: ./gpu3 15 16384 2048 32
==113054== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
1.94165s  108.19us          (57600 1 1)        (1 64 1)        10        0B        0B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForINS0_8ViewFillINS_4ViewIPdJNS_11LayoutRightENS_6DeviceINS_4CudaENS_14AnonymousSpaceEEENS_12MemoryTraitsILj0EEEEEES6_S8_Li1EiLb0EEENS_11RangePolicyIJS8_NS_9IndexTypeIiEEEEES8_EEEEvT_ [799]
1.94179s  251.55us           (2048 1 1)        (8 32 1)        96        8B      272B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForI4GemmIdENS_10TeamPolicyIJNS_4CudaEEEES6_EEEEvT_ [812]
1.97666s  3.3949ms                    -               -         -         -         -  28.125MB  8.0904GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
1.98018s  3.3790ms                    -               -         -         -         -  28.125MB  8.1284GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
1.98362s  108.19us          (57600 1 1)        (1 64 1)        10        0B        0B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForINS0_8ViewFillINS_4ViewIPdJNS_11LayoutRightENS_6DeviceINS_4CudaENS_14AnonymousSpaceEEENS_12MemoryTraitsILj0EEEEEES6_S8_Li1EiLb0EEENS_11RangePolicyIJS8_NS_9IndexTypeIiEEEEES8_EEEEvT_ [831]
1.98375s  253.31us           (2048 1 1)        (8 32 1)        96        8B      272B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForI4GemmIdENS_10TeamPolicyIJNS_4CudaEEEES6_EEEEvT_ [844]
2.01871s  3.3919ms                    -               -         -         -         -  28.125MB  8.0975GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
2.02224s  3.3618ms                    -               -         -         -         -  28.125MB  8.1699GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
2.02566s  108.35us          (57600 1 1)        (1 64 1)        10        0B        0B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForINS0_8ViewFillINS_4ViewIPdJNS_11LayoutRightENS_6DeviceINS_4CudaENS_14AnonymousSpaceEEENS_12MemoryTraitsILj0EEEEEES6_S8_Li1EiLb0EEENS_11RangePolicyIJS8_NS_9IndexTypeIiEEEEES8_EEEEvT_ [863]
2.02580s  251.39us           (2048 1 1)        (8 32 1)        96        8B      272B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForI4GemmIdENS_10TeamPolicyIJNS_4CudaEEEES6_EEEEvT_ [876]
2.06094s  3.3715ms                    -               -         -         -         -  28.125MB  8.1465GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
2.06444s  3.3983ms                    -               -         -         -         -  28.125MB  8.0821GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
2.06790s  107.84us          (57600 1 1)        (1 64 1)        10        0B        0B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForINS0_8ViewFillINS_4ViewIPdJNS_11LayoutRightENS_6DeviceINS_4CudaENS_14AnonymousSpaceEEENS_12MemoryTraitsILj0EEEEEES6_S8_Li1EiLb0EEENS_11RangePolicyIJS8_NS_9IndexTypeIiEEEEES8_EEEEvT_ [895]
2.06804s  250.27us           (2048 1 1)        (8 32 1)        96        8B      272B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForI4GemmIdENS_10TeamPolicyIJNS_4CudaEEEES6_EEEEvT_ [908]
2.10300s  3.3915ms                    -               -         -         -         -  28.125MB  8.0984GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
2.10655s  3.3848ms                    -               -         -         -         -  28.125MB  8.1145GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
2.10999s  107.62us          (57600 1 1)        (1 64 1)        10        0B        0B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForINS0_8ViewFillINS_4ViewIPdJNS_11LayoutRightENS_6DeviceINS_4CudaENS_14AnonymousSpaceEEENS_12MemoryTraitsILj0EEEEEES6_S8_Li1EiLb0EEENS_11RangePolicyIJS8_NS_9IndexTypeIiEEEEES8_EEEEvT_ [927]
2.11012s  250.11us           (2048 1 1)        (8 32 1)        96        8B      272B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForI4GemmIdENS_10TeamPolicyIJNS_4CudaEEEES6_EEEEvT_ [940]
2.14521s  3.4218ms                    -               -         -         -         -  28.125MB  8.0267GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
2.14876s  3.3762ms                    -               -         -         -         -  28.125MB  8.1351GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
2.15221s  108.22us          (57600 1 1)        (1 64 1)        10        0B        0B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForINS0_8ViewFillINS_4ViewIPdJNS_11LayoutRightENS_6DeviceINS_4CudaENS_14AnonymousSpaceEEENS_12MemoryTraitsILj0EEEEEES6_S8_Li1EiLb0EEENS_11RangePolicyIJS8_NS_9IndexTypeIiEEEEES8_EEEEvT_ [959]
2.15235s  252.45us           (2048 1 1)        (8 32 1)        96        8B      272B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForI4GemmIdENS_10TeamPolicyIJNS_4CudaEEEES6_EEEEvT_ [972]
2.18730s  3.4044ms                    -               -         -         -         -  28.125MB  8.0676GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
2.19083s  3.3741ms                    -               -         -         -         -  28.125MB  8.1401GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
2.19427s  108.32us          (57600 1 1)        (1 64 1)        10        0B        0B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForINS0_8ViewFillINS_4ViewIPdJNS_11LayoutRightENS_6DeviceINS_4CudaENS_14AnonymousSpaceEEENS_12MemoryTraitsILj0EEEEEES6_S8_Li1EiLb0EEENS_11RangePolicyIJS8_NS_9IndexTypeIiEEEEES8_EEEEvT_ [991]
2.19440s  251.29us           (2048 1 1)        (8 32 1)        96        8B      272B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForI4GemmIdENS_10TeamPolicyIJNS_4CudaEEEES6_EEEEvT_ [1004]
2.22954s  3.3632ms                    -               -         -         -         -  28.125MB  8.1666GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
2.23304s  3.3801ms                    -               -         -         -         -  28.125MB  8.1257GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
2.23648s  108.26us          (57600 1 1)        (1 64 1)        10        0B        0B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForINS0_8ViewFillINS_4ViewIPdJNS_11LayoutRightENS_6DeviceINS_4CudaENS_14AnonymousSpaceEEENS_12MemoryTraitsILj0EEEEEES6_S8_Li1EiLb0EEENS_11RangePolicyIJS8_NS_9IndexTypeIiEEEEES8_EEEEvT_ [1023]
2.23663s  253.05us           (2048 1 1)        (8 32 1)        96        8B      272B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForI4GemmIdENS_10TeamPolicyIJNS_4CudaEEEES6_EEEEvT_ [1036]
2.27194s  3.4113ms                    -               -         -         -         -  28.125MB  8.0515GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
2.27548s  3.3641ms                    -               -         -         -         -  28.125MB  8.1643GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
2.27890s  107.74us          (57600 1 1)        (1 64 1)        10        0B        0B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForINS0_8ViewFillINS_4ViewIPdJNS_11LayoutRightENS_6DeviceINS_4CudaENS_14AnonymousSpaceEEENS_12MemoryTraitsILj0EEEEEES6_S8_Li1EiLb0EEENS_11RangePolicyIJS8_NS_9IndexTypeIiEEEEES8_EEEEvT_ [1055]
2.27904s  251.36us           (2048 1 1)        (8 32 1)        96        8B      272B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForI4GemmIdENS_10TeamPolicyIJNS_4CudaEEEES6_EEEEvT_ [1068]
2.31399s  3.4010ms                    -               -         -         -         -  28.125MB  8.0759GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
2.31752s  3.3588ms                    -               -         -         -         -  28.125MB  8.1772GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
2.32094s  107.62us          (57600 1 1)        (1 64 1)        10        0B        0B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForINS0_8ViewFillINS_4ViewIPdJNS_11LayoutRightENS_6DeviceINS_4CudaENS_14AnonymousSpaceEEENS_12MemoryTraitsILj0EEEEEES6_S8_Li1EiLb0EEENS_11RangePolicyIJS8_NS_9IndexTypeIiEEEEES8_EEEEvT_ [1087]
2.32108s  249.02us           (2048 1 1)        (8 32 1)        96        8B      272B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForI4GemmIdENS_10TeamPolicyIJNS_4CudaEEEES6_EEEEvT_ [1100]
2.35611s  3.3901ms                    -               -         -         -         -  28.125MB  8.1017GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
2.35964s  3.3654ms                    -               -         -         -         -  28.125MB  8.1612GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
2.36306s  108.42us          (57600 1 1)        (1 64 1)        10        0B        0B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForINS0_8ViewFillINS_4ViewIPdJNS_11LayoutRightENS_6DeviceINS_4CudaENS_14AnonymousSpaceEEENS_12MemoryTraitsILj0EEEEEES6_S8_Li1EiLb0EEENS_11RangePolicyIJS8_NS_9IndexTypeIiEEEEES8_EEEEvT_ [1119]
2.36320s  251.58us           (2048 1 1)        (8 32 1)        96        8B      272B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForI4GemmIdENS_10TeamPolicyIJNS_4CudaEEEES6_EEEEvT_ [1132]
2.39841s  3.3948ms                    -               -         -         -         -  28.125MB  8.0905GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
2.40197s  3.3393ms                    -               -         -         -         -  28.125MB  8.2250GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
2.40537s  108.38us          (57600 1 1)        (1 64 1)        10        0B        0B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForINS0_8ViewFillINS_4ViewIPdJNS_11LayoutRightENS_6DeviceINS_4CudaENS_14AnonymousSpaceEEENS_12MemoryTraitsILj0EEEEEES6_S8_Li1EiLb0EEENS_11RangePolicyIJS8_NS_9IndexTypeIiEEEEES8_EEEEvT_ [1151]
2.40550s  253.41us           (2048 1 1)        (8 32 1)        96        8B      272B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForI4GemmIdENS_10TeamPolicyIJNS_4CudaEEEES6_EEEEvT_ [1164]
2.44061s  3.4066ms                    -               -         -         -         -  28.125MB  8.0626GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
2.44415s  3.3865ms                    -               -         -         -         -  28.125MB  8.1103GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
2.44760s  107.62us          (57600 1 1)        (1 64 1)        10        0B        0B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForINS0_8ViewFillINS_4ViewIPdJNS_11LayoutRightENS_6DeviceINS_4CudaENS_14AnonymousSpaceEEENS_12MemoryTraitsILj0EEEEEES6_S8_Li1EiLb0EEENS_11RangePolicyIJS8_NS_9IndexTypeIiEEEEES8_EEEEvT_ [1183]
2.44774s  251.68us           (2048 1 1)        (8 32 1)        96        8B      272B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForI4GemmIdENS_10TeamPolicyIJNS_4CudaEEEES6_EEEEvT_ [1196]
2.48270s  3.4272ms                    -               -         -         -         -  28.125MB  8.0142GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
2.48627s  3.3974ms                    -               -         -         -         -  28.125MB  8.0844GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
2.48972s  107.62us          (57600 1 1)        (1 64 1)        10        0B        0B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForINS0_8ViewFillINS_4ViewIPdJNS_11LayoutRightENS_6DeviceINS_4CudaENS_14AnonymousSpaceEEENS_12MemoryTraitsILj0EEEEEES6_S8_Li1EiLb0EEENS_11RangePolicyIJS8_NS_9IndexTypeIiEEEEES8_EEEEvT_ [1215]
2.48986s  251.45us           (2048 1 1)        (8 32 1)        96        8B      272B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForI4GemmIdENS_10TeamPolicyIJNS_4CudaEEEES6_EEEEvT_ [1228]
2.49072s  4.9615ms                    -               -         -         -         -  28.125MB  5.5358GB/s      Device    Pageable  Tesla P100-PCIE         1         7  [CUDA memcpy DtoH]
2.60008s  2.3680us                    -               -         -         -         -      128B  51.550MB/s      Device    Pageable  Tesla P100-PCIE         1         7  [CUDA memcpy DtoH]
2.60012s  1.7280us                    -               -         -         -         -      128B  70.643MB/s      Device    Pageable  Tesla P100-PCIE         1         7  [CUDA memcpy DtoH]
2.60077s  2.8800us                    -               -         -         -         -      128B  42.386MB/s      Device    Pageable  Tesla P100-PCIE         1         7  [CUDA memcpy DtoH]

Regs: Number of registers used per CUDA thread. This number includes registers used internally by the CUDA driver and/or tools and can be more than what the compiler shows.
SSMem: Static shared memory allocated per CUDA block.
DSMem: Dynamic shared memory allocated per CUDA block.
SrcMemType: The type of source memory accessed by memory operation/copy
DstMemType: The type of destination memory accessed by memory operation/copy

