==113054== NVPROF is profiling process 113054, command: ./gpu3 15 16384 2048 32
kernel completed, verifying


Success:
 N	Teams	TeamS	VL	ele/VL	exec_time(s)	FLOPS
15	2048	32	8	1	0.000275	4.015007e+11

==113054== Profiling application: ./gpu3 15 16384 2048 32
==113054== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
1.12476s  3.6870ms                    -               -         -         -         -  28.125MB  7.4494GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
1.12860s  3.7400ms                    -               -         -         -         -  28.125MB  7.3439GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
1.13241s  107.49us          (57600 1 1)        (1 64 1)        10        0B        0B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForINS0_8ViewFillINS_4ViewIPdJNS_11LayoutRightENS_6DeviceINS_4CudaENS_14AnonymousSpaceEEENS_12MemoryTraitsILj0EEEEEES6_S8_Li1EiLb0EEENS_11RangePolicyIJS8_NS_9IndexTypeIiEEEEES8_EEEEvT_ [255]
1.13255s  251.26us           (2048 1 1)        (8 32 1)        96        8B      272B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForI4GemmIdENS_10TeamPolicyIJNS_4CudaEEEES6_EEEEvT_ [268]
1.17269s  3.6907ms                    -               -         -         -         -  28.125MB  7.4419GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
1.17653s  6.5219ms                    -               -         -         -         -  28.125MB  4.2113GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
1.18330s  107.87us          (57600 1 1)        (1 64 1)        10        0B        0B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForINS0_8ViewFillINS_4ViewIPdJNS_11LayoutRightENS_6DeviceINS_4CudaENS_14AnonymousSpaceEEENS_12MemoryTraitsILj0EEEEEES6_S8_Li1EiLb0EEENS_11RangePolicyIJS8_NS_9IndexTypeIiEEEEES8_EEEEvT_ [287]
1.18347s  252.35us           (2048 1 1)        (8 32 1)        96        8B      272B         -           -           -           -  Tesla P100-PCIE         1         7  _ZN6Kokkos4Impl33cuda_parallel_launch_local_memoryINS0_11ParallelForI4GemmIdENS_10TeamPolicyIJNS_4CudaEEEES6_EEEEvT_ [300]
1.24945s  3.6912ms                    -               -         -         -         -  28.125MB  7.4409GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
1.25329s  3.7600ms                    -               -         -         -         -  28.125MB  7.3047GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
