# phi = 1.68
# x[m] T[K] u[m/s] rho[kg/m3] press[Pa] Y_H Y_H2 Y_O Y_OH Y_H2O Y_O2 Y_HO2 Y_H2O2 Y_N2
0.000000000000000000e+00 3.000000000000000000e+02 3.068867296054433869e+00 7.209122161818305452e-01 1.013250000000000146e+05 0.000000000000000000e+00 4.700592070748695755e-02 6.489255754818079243e-15 4.304483459823899674e-15 6.776330327080156194e-18 2.220473490053208321e-01 7.034996730477435112e-14 0.000000000000000000e+00
1.000000000000000194e-02 3.000000000000452474e+02 3.068867296054880622e+00 7.209122161817250740e-01 1.013250000000000146e+05 2.482195279359546084e-20 4.700592070748603468e-02 4.846140052485234777e-15 2.921894692236759856e-17 6.388168110013254611e-15 2.220473490053125887e-01 7.885308227486622593e-14 0.000000000000000000e+00
1.500000000000000291e-02 3.000000000000579803e+02 3.068867296055008964e+00 7.209122161816955421e-01 1.013250000000000146e+05 1.716523176446090208e-20 4.700592070748585427e-02 4.143757010896870808e-15 7.448644307332235978e-18 7.202232608901631697e-15 2.220473490053097576e-01 8.179444819125055914e-14 0.000000000000000000e+00
2.000000000000000389e-02 3.000000000000687237e+02 3.068867296055113769e+00 7.209122161816705621e-01 1.013250000000000146e+05 1.447935275547487261e-20 4.700592070748570162e-02 3.543174770024926697e-15 6.200280392308001343e-18 7.879898884955390226e-15 2.220473490053073429e-01 8.427567005690138770e-14 0.000000000000000000e+00
2.500000000000000139e-02 3.000000000000778755e+02 3.068867296055204363e+00 7.209122161816494678e-01 1.013250000000000146e+05 1.237861044752810986e-20 4.700592070748557672e-02 3.029585805346929544e-15 5.299915175567132209e-18 8.459209115070792982e-15 2.220473490053052890e-01 8.639710285211297886e-14 0.000000000000000000e+00
2.750000000000000014e-02 3.000000000000820819e+02 3.068867296055246108e+00 7.209122161816398089e-01 1.013250000000000146e+05 1.141147570802427283e-20 4.700592070748551426e-02 2.792890602545559281e-15 4.885827179267501858e-18 8.726203827986007913e-15 2.220473490053043453e-01 8.737485580874441660e-14 0.000000000000000000e+00
2.999999999999999889e-02 3.000000000000860041e+02 3.068867296055281635e+00 7.209122161816307051e-01 1.013250000000000146e+05 1.051980471781289131e-20 4.700592070748545181e-02 2.574659556286121736e-15 4.504057852462462850e-18 8.972360867339555118e-15 2.220473490053034571e-01 8.827630082769522824e-14 0.000000000000000000e+00
3.125000000000000000e-02 3.000000000000878799e+02 3.068867296055295402e+00 7.209122161816275964e-01 1.013250000000000146e+05 1.009216125298128440e-20 4.700592070748522977e-02 2.469996340213221383e-15 4.320962104895759426e-18 9.090422674383646624e-15 2.220473490053031240e-01 8.870865797939006543e-14 0.000000000000000000e+00
3.250000000000000111e-02 3.000000000000899263e+02 3.068867296055084903e+00 7.209122161816775565e-01 1.013250000000000146e+05 9.681842310975748213e-21 4.700592070747593165e-02 2.369573243013988016e-15 4.145283975439079104e-18 9.203696839209042128e-15 2.220473490053060106e-01 8.912348037140485984e-14 0.000000000000000000e+00
3.312500000000000167e-02 3.000000000000987370e+02 3.068867296051116078e+00 7.209122161826095887e-01 1.013250000000000146e+05 9.480966087135276765e-21 4.700592070731465788e-02 2.320409963337514866e-15 4.059278710617722080e-18 9.259159455016519204e-15 2.220473490053631316e-01 8.932657727544325600e-14 0.000000000000000000e+00
3.359375000000000555e-02 3.000000000002800107e+02 3.068867295989949895e+00 7.209122161969787612e-01 1.013250000000000146e+05 9.332874354587715992e-21 4.700592070480949514e-02 2.284165092777477381e-15 3.995872846613863772e-18 9.300277329514927277e-15 2.220473490062534472e-01 8.947656560333702125e-14 0.000000000000000000e+00
3.390624999999999889e-02 3.000000000029425564e+02 3.068867295383560290e+00 7.209122163394267035e-01 1.013250000000000146e+05 9.239135237492073811e-21 4.700592067962274662e-02 2.261197205124586629e-15 3.955754812846437802e-18 9.331649167936359826e-15 2.220473490152060358e-01 8.957665530766145622e-14 0.000000000000000000e+00
3.406250000000000250e-02 3.000000000211260271e+02 3.068867292576133998e+00 7.209122169989228279e-01 1.013250000000000146e+05 9.229664506180628424e-21 4.700592056063342128e-02 2.257547282591545994e-15 3.953297494077208495e-18 9.395241772070791110e-15 2.220473490575008979e-01 8.963997709549837288e-14 0.000000000000000000e+00
3.421875000000000611e-02 3.000000001927852509e+02 3.068867274478559892e+00 7.209122212502514504e-01 1.013250000000000146e+05 9.810785676724678520e-21 4.700591977145132661e-02 2.340943707924224403e-15 4.284475835126372882e-18 1.019570145960190699e-14 2.220473493380162866e-01 8.992584412139936227e-14 0.000000000000000000e+00
3.437500000000000278e-02 3.000000018133348476e+02 3.068867159379692566e+00 7.209122482883002503e-01 1.013250000000000146e+05 2.535415015518966789e-20 4.700591453729829200e-02 3.427433365639142942e-15 1.487182593441510362e-17 2.255721048876240610e-14 2.220473511984940862e-01 9.395261230662377435e-14 0.000000000000000000e+00
3.445312500000000111e-02 3.000000077529609257e+02 3.068866876182241743e+00 7.209123148146502347e-01 1.013250000000000146e+05 2.436217385880981467e-19 4.700590086495290421e-02 8.308030903511850252e-15 1.768539823610943664e-16 9.665633453007729939e-14 2.220473560582869321e-01 1.193611972087925880e-13 0.000000000000000000e+00
3.453124999999999944e-02 3.000000387593347000e+02 3.068865880759267917e+00 7.209125486510939984e-01 1.013250000000000146e+05 3.425570334637285937e-18 4.700584868873750738e-02 3.885503033109778647e-14 2.594721648790243724e-15 7.136080115914423538e-13 2.220473746038563734e-01 3.432382799951457324e-13 4.058071721189424531e-15
3.457031249999999861e-02 3.000001033330674431e+02 3.068864498818058895e+00 7.209128732854214183e-01 1.013250000000000146e+05 2.232909642918793652e-17 4.700576749897209666e-02 1.143010699702371483e-13 1.676453085091279976e-14 2.711722392843767143e-12 2.220474034610735725e-01 1.100650117134575867e-12 2.672403258141775189e-14
3.460937499999999778e-02 3.000003041656169671e+02 3.068861634724135090e+00 7.209135460958728814e-01 1.013250000000000146e+05 1.382719290597048926e-16 4.700557198694269717e-02 3.876325127788927703e-13 1.041979102474530169e-13 1.200624246083681863e-11 2.220474729475681308e-01 4.774268729321425460e-12 1.407942503025639056e-13
