input: ../input/HV15R.rb
num_of_lines_for_m_ptr_in_row_id 252147, num_of_lines_for_m_row_id 28307346, num_of_lines_for_m_data 94357820, num_of_rows 2017169, num_of_cols 2017169, num_of_entries 283073458
matrix read
free: 12, tot: 15
V allocated 
free: 8, tot: 15
R allocated 
free: 4, tot: 15
Blocks 	 ThreadsPerBlock 	 PVL 	 LVL 	 simple_error 	 simd_error 	 simple_time 	 simd_time 
32768 	 4 	 16 	 256 	 0.000007 	 0.000007 	 819.213000 	 888.901000 
32768 	 4 	 32 	 256 	 0.000007 	 0.000007 	 954.417000 	 1000.961000 
32768 	 4 	 64 	 256 	 0.000007 	 0.000007 	 870.966000 	 836.259000 
32768 	 4 	 128 	 256 	 0.000007 	 0.000007 	 878.334000 	 880.737000 
32768 	 8 	 8 	 256 	 0.000007 	 0.000007 	 714.335000 	 692.729000 
32768 	 8 	 16 	 256 	 0.000007 	 0.000007 	 760.977000 	 813.055000 
32768 	 8 	 32 	 256 	 0.000007 	 0.000007 	 881.588000 	 891.387000 
32768 	 8 	 64 	 256 	 0.000007 	 0.000007 	 756.135000 	 642.837000 
32768 	 16 	 8 	 256 	 0.000007 	 0.000007 	 630.982000 	 610.772000 
32768 	 16 	 16 	 256 	 0.000007 	 0.000007 	 639.274000 	 726.942000 
32768 	 16 	 32 	 256 	 0.000007 	 0.000007 	 636.961000 	 692.533000 
32768 	 32 	 8 	 256 	 0.000007 	 0.000007 	 575.530000 	 579.753000 
32768 	 32 	 16 	 256 	 0.000007 	 0.000007 	 516.195000 	 931.306000 
32768 	 64 	 8 	 256 	 0.000007 	 0.000007 	 593.064000 	 604.457000 
--------------------- calling cublas ------------------------
cublas success, cublas_error: 0.000020, cublas time: 635.262000 ms
cublas success, cublas_error: 0.000020, cublas time: 635.522000 ms
cublas success, cublas_error: 0.000020, cublas time: 635.146000 ms
cublas success, cublas_error: 0.000020, cublas time: 635.267000 ms
cublas success, cublas_error: 0.000020, cublas time: 635.183000 ms
cublas success, cublas_error: 0.000020, cublas time: 635.188000 ms
cublas success, cublas_error: 0.000020, cublas time: 635.154000 ms
cublas success, cublas_error: 0.000020, cublas time: 635.151000 ms
cublas success, cublas_error: 0.000020, cublas time: 635.137000 ms
cublas success, cublas_error: 0.000020, cublas time: 635.147000 ms
